snid 	 epoch 	 seed1 	 seed2 	 seed50 	 seed100 	 seed1000 	 seed5000 	 
sn2002ck 	 0.330 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2005M 	 -1.722 	 0.0 	 0.0 	 1.0 	 0.0 	 0.0 	 0.0 	 
sn2001ep 	 -0.178 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn1998es 	 -2.375 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn1998ec 	 -2.941 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn1996ai 	 -0.927 	 1.0 	 1.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2006nz 	 -1.647 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
snf20080522-011 	 1.542 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2005hk 	 -1.362 	 0.0 	 0.0 	 1.0 	 0.0 	 0.0 	 0.0 	 
sn2000dk 	 0.757 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 1.0 	 
sn1996X 	 -2.761 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn1998V 	 2.270 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn1998ef 	 1.385 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2005A 	 1.511 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn1997dt 	 2.194 	 1.0 	 0.0 	 0.0 	 1.0 	 0.0 	 1.0 	 
sn1999cc 	 -1.222 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn1999ac 	 -0.961 	 0.0 	 0.0 	 1.0 	 1.0 	 0.0 	 0.0 	 
sn1998aq 	 1.056 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2003W 	 0.637 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2001eh 	 -0.106 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn1997bp 	 1.795 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn1998co 	 0.933 	 1.0 	 1.0 	 0.0 	 0.0 	 0.0 	 1.0 	 
sn2002jy 	 1.089 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2000cp 	 -0.541 	 1.0 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 
sn1998V 	 0.305 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2008A 	 0.030 	 0.0 	 0.0 	 1.0 	 0.0 	 0.0 	 0.0 	 
sn2006sr 	 2.958 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2001fh 	 -1.679 	 1.0 	 0.0 	 0.0 	 0.0 	 0.0 	 1.0 	 
sn2000cp 	 -2.533 	 1.0 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 
sn2001da 	 -0.039 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2002bo 	 -1.523 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2001bf 	 0.768 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
snf20080522-000 	 -1.254 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2005am 	 -2.975 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2001N 	 2.537 	 0.0 	 1.0 	 1.0 	 1.0 	 0.0 	 1.0 	 
sn2007hj 	 2.366 	 0.0 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 
sn2000dm 	 -2.848 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2001cp 	 -1.115 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2001ep 	 2.804 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn2003ch 	 0.820 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn2006gt 	 2.374 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn2003ch 	 1.766 	 0.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn2003iv 	 1.402 	 1.0 	 0.0 	 0.0 	 0.0 	 0.0 	 1.0 	 
sn2007ax 	 -1.877 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn2003cg 	 1.922 	 1.0 	 1.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn1998bp 	 0.980 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn2005ke 	 0.498 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn1998bp 	 -1.910 	 1.0 	 0.0 	 0.0 	 0.0 	 0.0 	 1.0 	 
sn1997bp 	 -1.200 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2002fk 	 2.531 	 0.0 	 0.0 	 1.0 	 0.0 	 0.0 	 0.0 	 
sn2008A 	 1.004 	 0.0 	 0.0 	 1.0 	 0.0 	 0.0 	 0.0 	 
sn2008ae 	 0.922 	 0.0 	 0.0 	 1.0 	 0.0 	 0.0 	 0.0 	 
sn2007hj 	 -1.518 	 1.0 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 
sn2002ck 	 2.301 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn2004as 	 -2.056 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2001br 	 -0.451 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn1998co 	 -0.049 	 1.0 	 1.0 	 0.0 	 0.0 	 0.0 	 1.0 	 
sn1998aq 	 0.060 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2008ar 	 -2.631 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2005am 	 1.934 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2002cd 	 0.277 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2000dn 	 -0.920 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn1999cl 	 0.675 	 1.0 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 
sn1999da 	 -2.618 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn2005na 	 -1.520 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2004at 	 1.184 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn2003ch 	 -0.166 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn2007au 	 1.127 	 0.0 	 0.0 	 0.0 	 1.0 	 0.0 	 0.0 	 
sn2007kk 	 -1.748 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2001eh 	 -2.006 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2004gs 	 -0.302 	 0.0 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 
sn2007F 	 -1.807 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn1998aq 	 -0.906 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2005cf 	 -1.371 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2002aw 	 -0.857 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2006et 	 2.406 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn2004ef 	 1.523 	 1.0 	 1.0 	 1.0 	 1.0 	 0.0 	 1.0 	 
sn2006X 	 1.293 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2007co 	 0.759 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2007bd 	 1.668 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2006cz 	 -1.017 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn1998dx 	 2.134 	 1.0 	 0.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2007bd 	 -1.261 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn1999ek 	 -0.619 	 1.0 	 0.0 	 0.0 	 0.0 	 0.0 	 1.0 	 
sn1996bl 	 -2.239 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2006N 	 0.710 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2005M 	 -2.740 	 0.0 	 0.0 	 1.0 	 0.0 	 0.0 	 0.0 	 
sn2003cg 	 2.769 	 1.0 	 1.0 	 0.0 	 0.0 	 0.0 	 1.0 	 
sn2007ci 	 -1.189 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2001fe 	 -1.687 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn1999cl 	 -1.320 	 1.0 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 
sn2006sr 	 1.972 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2000dg 	 0.164 	 1.0 	 1.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn1998bu 	 -1.536 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2008Q 	 -0.308 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2001ep 	 0.819 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn2004ef 	 2.502 	 1.0 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 
sn1999cc 	 1.706 	 1.0 	 1.0 	 1.0 	 1.0 	 0.0 	 1.0 	 
sn1999gp 	 2.932 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
snf20080522-011 	 0.530 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2002ef 	 -2.892 	 1.0 	 1.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2005cf 	 2.524 	 0.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn2005cf 	 -2.345 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2008A 	 -2.962 	 0.0 	 0.0 	 1.0 	 0.0 	 0.0 	 0.0 	 
sn2001da 	 -1.013 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2005A 	 0.599 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2003du 	 -1.789 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2006ax 	 0.492 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn2003it 	 -1.161 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2004ef 	 0.621 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2002cd 	 2.266 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2007af 	 0.288 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn2007hj 	 -0.592 	 1.0 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 
sn2001ay 	 1.281 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2005ki 	 1.000 	 1.0 	 0.0 	 1.0 	 1.0 	 0.0 	 1.0 	 
sn2005el 	 2.060 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn2007af 	 -1.641 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn1999gd 	 1.100 	 1.0 	 0.0 	 0.0 	 0.0 	 0.0 	 1.0 	 
sn2006cm 	 -1.919 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
