n,identifier,RA_simbad,DEC_simbad,ra_sdss,dec_sdss,distance,objID_DR12,plate,mjd,fiberid
156,IC5179,334.037871,-36.843758,,,,,,,
157,UGC11260,277.606017,34.102717,,,,,,,
158,NGC495,20.73315,33.471428,20.7331485206572,33.4714120788291,9.55376567831019E-4,1237666214615252998,,,
159,UGC3329,84.134912,16.641419,,,,,,,
160,MCG+03-41-04,239.140167,20.052283,239.140314323318,20.0523651632636,0.00966575497122535,1237665372796223576,2172,54230,617
161,NGC2441,117.978217,73.015672,,,,,,,
162,LEDA44809,195.178558,27.963231,195.17848226925,27.9630831816693,0.00969520377620748,1237667444048724176,2240,53823,640
163,UGC3634,105.403175,14.135247,,,,,,,
164,NGC6495,268.711454,18.326864,,,,,,,
165,LEDA57064,241.36348,17.83098,241.363482692376,17.8309804012214,1.75918465519421E-4,1237665442071839202,2199,53556,118
166,MCG-01-09-06,47.201492,-7.040597,47.201344280947,-7.04061083843035,0.00885397839559479,1237649962990829650,458,51929,628
167,MCG-03-10-52,58.602746,-19.190297,,,,,,,
