#################################################################
# SOM run with 200000 iterations on a 20x20 grid with sigma=0.8,#
#learning_rate=0.5 for out_DeepLearning.dat available on 		#
#/MLSNeSpectra/data_all_types			#
#																#
#################################################################

Pair = (11,18)	 Nspec=9	 epoch mean=10.56	 epoch std=3.74
Pair = (11,19)	 Nspec=7	 epoch mean=3.87	 epoch std=2.35
Pair = (12,0)	 Nspec=12	 epoch mean=43.95	 epoch std=5.26
Pair = (12,1)	 Nspec=7	 epoch mean=44.34	 epoch std=2.33
Pair = (12,2)	 Nspec=19	 epoch mean=51.10	 epoch std=5.47
Pair = (12,3)	 Nspec=6	 epoch mean=57.25	 epoch std=3.35
Pair = (12,4)	 Nspec=19	 epoch mean=58.95	 epoch std=6.41
Pair = (12,5)	 Nspec=4	 epoch mean=56.81	 epoch std=14.73
Pair = (12,6)	 Nspec=15	 epoch mean=51.75	 epoch std=3.68
Pair = (12,7)	 Nspec=0	 epoch mean=51.75	 epoch std=3.68
Pair = (12,8)	 Nspec=5	 epoch mean=14.25	 epoch std=1.80
Pair = (12,9)	 Nspec=5	 epoch mean=18.06	 epoch std=0.40
Pair = (12,10)	 Nspec=12	 epoch mean=13.76	 epoch std=2.89
Pair = (12,11)	 Nspec=18	 epoch mean=16.33	 epoch std=1.61
Pair = (12,12)	 Nspec=9	 epoch mean=13.87	 epoch std=1.84
Pair = (12,13)	 Nspec=5	 epoch mean=11.52	 epoch std=0.65
Pair = (12,14)	 Nspec=5	 epoch mean=10.91	 epoch std=0.93
Pair = (12,15)	 Nspec=9	 epoch mean=9.50	 epoch std=1.90
Pair = (12,16)	 Nspec=2	 epoch mean=10.79	 epoch std=3.25
Pair = (12,17)	 Nspec=5	 epoch mean=9.50	 epoch std=1.62
Pair = (12,18)	 Nspec=9	 epoch mean=8.85	 epoch std=1.62
Pair = (12,19)	 Nspec=8	 epoch mean=4.69	 epoch std=2.69
Pair = (13,0)	 Nspec=14	 epoch mean=38.42	 epoch std=4.18
Pair = (13,1)	 Nspec=5	 epoch mean=42.15	 epoch std=1.40
Pair = (13,2)	 Nspec=7	 epoch mean=52.13	 epoch std=5.19
Pair = (13,3)	 Nspec=8	 epoch mean=49.20	 epoch std=2.77
Pair = (13,4)	 Nspec=14	 epoch mean=50.44	 epoch std=5.69
Pair = (13,5)	 Nspec=6	 epoch mean=53.74	 epoch std=15.13
Pair = (13,6)	 Nspec=16	 epoch mean=46.66	 epoch std=5.09
Pair = (13,7)	 Nspec=9	 epoch mean=30.19	 epoch std=10.01
Pair = (13,8)	 Nspec=3	 epoch mean=26.25	 epoch std=1.66
Pair = (13,9)	 Nspec=8	 epoch mean=19.93	 epoch std=3.90
Pair = (13,10)	 Nspec=5	 epoch mean=15.99	 epoch std=1.44
Pair = (13,11)	 Nspec=8	 epoch mean=16.86	 epoch std=1.31
Pair = (13,12)	 Nspec=4	 epoch mean=16.33	 epoch std=6.05
Pair = (13,13)	 Nspec=13	 epoch mean=13.84	 epoch std=3.09
Pair = (13,14)	 Nspec=7	 epoch mean=15.86	 epoch std=2.97
Pair = (13,15)	 Nspec=10	 epoch mean=11.46	 epoch std=2.57
Pair = (13,16)	 Nspec=5	 epoch mean=10.75	 epoch std=0.18
Pair = (13,17)	 Nspec=10	 epoch mean=8.28	 epoch std=1.90
Pair = (13,18)	 Nspec=4	 epoch mean=7.19	 epoch std=1.82
Pair = (13,19)	 Nspec=1	 epoch mean=6.55	 epoch std=nan
Pair = (14,0)	 Nspec=10	 epoch mean=35.98	 epoch std=3.45
Pair = (14,1)	 Nspec=11	 epoch mean=38.48	 epoch std=5.25
Pair = (14,2)	 Nspec=5	 epoch mean=39.46	 epoch std=4.24
Pair = (14,3)	 Nspec=5	 epoch mean=43.93	 epoch std=7.26
Pair = (14,4)	 Nspec=4	 epoch mean=42.63	 epoch std=3.12
Pair = (14,5)	 Nspec=13	 epoch mean=41.27	 epoch std=2.05
Pair = (14,6)	 Nspec=9	 epoch mean=43.53	 epoch std=4.20
Pair = (14,7)	 Nspec=9	 epoch mean=33.87	 epoch std=3.04
Pair = (14,8)	 Nspec=7	 epoch mean=28.93	 epoch std=6.32
Pair = (14,9)	 Nspec=8	 epoch mean=22.15	 epoch std=1.50
Pair = (14,10)	 Nspec=12	 epoch mean=19.35	 epoch std=3.47
Pair = (14,11)	 Nspec=7	 epoch mean=15.02	 epoch std=2.39
Pair = (14,12)	 Nspec=9	 epoch mean=17.93	 epoch std=1.80
Pair = (14,13)	 Nspec=6	 epoch mean=12.82	 epoch std=2.77
Pair = (14,14)	 Nspec=4	 epoch mean=17.21	 epoch std=0.90
Pair = (14,15)	 Nspec=19	 epoch mean=13.07	 epoch std=1.61
Pair = (14,16)	 Nspec=10	 epoch mean=12.79	 epoch std=1.75
Pair = (14,17)	 Nspec=10	 epoch mean=10.23	 epoch std=1.54
Pair = (14,18)	 Nspec=11	 epoch mean=6.80	 epoch std=2.03
Pair = (14,19)	 Nspec=9	 epoch mean=7.07	 epoch std=0.65
Pair = (15,0)	 Nspec=14	 epoch mean=27.94	 epoch std=2.65
Pair = (15,1)	 Nspec=13	 epoch mean=36.06	 epoch std=3.88
Pair = (15,2)	 Nspec=13	 epoch mean=43.69	 epoch std=4.83
Pair = (15,3)	 Nspec=8	 epoch mean=40.78	 epoch std=3.10
Pair = (15,4)	 Nspec=6	 epoch mean=38.63	 epoch std=2.89
Pair = (15,5)	 Nspec=10	 epoch mean=36.28	 epoch std=3.32
Pair = (15,6)	 Nspec=12	 epoch mean=33.87	 epoch std=4.69
Pair = (15,7)	 Nspec=4	 epoch mean=37.67	 epoch std=3.61
Pair = (15,8)	 Nspec=13	 epoch mean=38.55	 epoch std=6.37
Pair = (15,9)	 Nspec=2	 epoch mean=25.61	 epoch std=1.88
Pair = (15,10)	 Nspec=9	 epoch mean=20.99	 epoch std=3.19
Pair = (15,11)	 Nspec=7	 epoch mean=15.54	 epoch std=2.05
Pair = (15,12)	 Nspec=21	 epoch mean=20.62	 epoch std=1.24
Pair = (15,13)	 Nspec=9	 epoch mean=18.32	 epoch std=2.21
Pair = (15,14)	 Nspec=11	 epoch mean=17.42	 epoch std=2.20
Pair = (15,15)	 Nspec=9	 epoch mean=16.36	 epoch std=1.17
Pair = (15,16)	 Nspec=4	 epoch mean=12.53	 epoch std=0.97
Pair = (15,17)	 Nspec=14	 epoch mean=11.23	 epoch std=1.28
Pair = (15,18)	 Nspec=7	 epoch mean=7.95	 epoch std=1.33
Pair = (15,19)	 Nspec=7	 epoch mean=7.32	 epoch std=1.31
Pair = (16,0)	 Nspec=9	 epoch mean=28.66	 epoch std=2.54
Pair = (16,1)	 Nspec=8	 epoch mean=37.52	 epoch std=3.88
Pair = (16,2)	 Nspec=8	 epoch mean=35.07	 epoch std=6.95
Pair = (16,3)	 Nspec=15	 epoch mean=30.19	 epoch std=4.43
Pair = (16,4)	 Nspec=13	 epoch mean=35.22	 epoch std=4.82
Pair = (16,5)	 Nspec=5	 epoch mean=32.22	 epoch std=1.10
Pair = (16,6)	 Nspec=13	 epoch mean=29.35	 epoch std=3.19
Pair = (16,7)	 Nspec=3	 epoch mean=28.93	 epoch std=2.34
Pair = (16,8)	 Nspec=10	 epoch mean=30.10	 epoch std=3.22
Pair = (16,9)	 Nspec=13	 epoch mean=27.68	 epoch std=3.56
Pair = (16,10)	 Nspec=9	 epoch mean=23.94	 epoch std=4.89
Pair = (16,11)	 Nspec=8	 epoch mean=17.39	 epoch std=2.07
Pair = (16,12)	 Nspec=9	 epoch mean=22.86	 epoch std=3.33
Pair = (16,13)	 Nspec=8	 epoch mean=20.14	 epoch std=2.29
Pair = (16,14)	 Nspec=12	 epoch mean=17.95	 epoch std=2.05
Pair = (16,15)	 Nspec=13	 epoch mean=16.76	 epoch std=1.70
Pair = (16,16)	 Nspec=7	 epoch mean=13.85	 epoch std=1.56
Pair = (16,17)	 Nspec=8	 epoch mean=14.50	 epoch std=1.66
Pair = (16,18)	 Nspec=9	 epoch mean=8.83	 epoch std=1.89
Pair = (16,19)	 Nspec=9	 epoch mean=8.11	 epoch std=3.63
Pair = (17,0)	 Nspec=2	 epoch mean=29.49	 epoch std=nan
Pair = (17,1)	 Nspec=14	 epoch mean=36.05	 epoch std=9.60
Pair = (17,2)	 Nspec=5	 epoch mean=23.65	 epoch std=3.86
Pair = (17,3)	 Nspec=9	 epoch mean=28.23	 epoch std=3.14
Pair = (17,4)	 Nspec=8	 epoch mean=29.05	 epoch std=1.82
Pair = (17,5)	 Nspec=6	 epoch mean=27.71	 epoch std=1.63
