#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#             [km/s]               [mJy]               [mJy]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
              5204.2              0.9731                       |         1.39616917e+09      9.73100000e-30                    
              5212.9               1.022                       |         1.39612935e+09      1.02200000e-29                    
              5221.6               1.311                       |         1.39608952e+09      1.31100000e-29                    
              5230.2                1.18                       |         1.39605016e+09      1.18000000e-29                    
              5238.9              0.6791                       |         1.39601034e+09      6.79100000e-30                    
              5247.6              0.4691                       |         1.39597053e+09      4.69100000e-30                    
              5256.2              0.7361                       |         1.39593117e+09      7.36100000e-30                    
              5264.9               1.394                       |         1.39589136e+09      1.39400000e-29                    
              5273.6               2.079                       |         1.39585155e+09      2.07900000e-29                    
              5282.3               2.038                       |         1.39581175e+09      2.03800000e-29                    
              5290.9               1.204                       |         1.39577240e+09      1.20400000e-29                    
              5299.6              0.7211                       |         1.39573260e+09      7.21100000e-30                    
              5308.3               1.463                       |         1.39569280e+09      1.46300000e-29                    
                5317               2.295                       |         1.39565300e+09      2.29500000e-29                    
              5325.6               2.186                       |         1.39561366e+09      2.18600000e-29                    
              5334.3                2.09                       |         1.39557387e+09      2.09000000e-29                    
                5343               2.621                       |         1.39553408e+09      2.62100000e-29                    
              5351.7               3.236                       |         1.39549429e+09      3.23600000e-29                    
              5360.3               3.519                       |         1.39545496e+09      3.51900000e-29                    
                5369               3.455                       |         1.39541518e+09      3.45500000e-29                    
              5377.7               3.438                       |         1.39537540e+09      3.43800000e-29                    
              5386.4               3.574                       |         1.39533562e+09      3.57400000e-29                    
              5395.1               3.265                       |         1.39529584e+09      3.26500000e-29                    
              5403.7               2.702                       |         1.39525653e+09      2.70200000e-29                    
              5412.4                2.25                       |         1.39521675e+09      2.25000000e-29                    
              5421.1               1.229                       |         1.39517698e+09      1.22900000e-29                    
              5429.8              0.2591                       |         1.39513722e+09      2.59100000e-30                    
              5438.5              0.6551                       |         1.39509745e+09      6.55100000e-30                    
              5447.1               1.368                       |         1.39505814e+09      1.36800000e-29                    
              5455.8              0.8201                       |         1.39501838e+09      8.20100000e-30                    
              5464.5             -0.2899                       |         1.39497862e+09     -2.89900000e-30                    
              5473.2             -0.5649                       |         1.39493887e+09     -5.64900000e-30                    
              5481.9             -0.2139                       |         1.39489911e+09     -2.13900000e-30                    
              5490.6              -0.029                       |         1.39485936e+09     -2.90000000e-31                    
              5499.2             -0.0059                       |         1.39482007e+09     -5.90000000e-32                    
              5507.9             -0.0649                       |         1.39478032e+09     -6.49000000e-31                    
              5516.6             -0.4009                       |         1.39474058e+09     -4.00900000e-30                    
              5525.3             -0.9109                       |         1.39470083e+09     -9.10900000e-30                    
                5534               -1.14                       |         1.39466109e+09     -1.14000000e-29                    
              5542.7             -0.7669                       |         1.39462135e+09     -7.66900000e-30                    
              5551.4             -0.1069                       |         1.39458162e+09     -1.06900000e-30                    
              5560.1              0.1181                       |         1.39454188e+09      1.18100000e-30                    
              5568.7             -0.2539                       |         1.39450261e+09     -2.53900000e-30                    
              5577.4             -0.5899                       |         1.39446288e+09     -5.89900000e-30                    
              5586.1             -0.4949                       |         1.39442315e+09     -4.94900000e-30                    
              5594.8             -0.4779                       |         1.39438343e+09     -4.77900000e-30                    
              5603.5             -0.8719                       |         1.39434370e+09     -8.71900000e-30                    
              5612.2               -1.21                       |         1.39430398e+09     -1.21000000e-29                    
              5620.9              -1.215                       |         1.39426427e+09     -1.21500000e-29                    
              5629.6               -1.19                       |         1.39422455e+09     -1.19000000e-29                    
              5638.3              -1.344                       |         1.39418484e+09     -1.34400000e-29                    
                5647              -1.229                       |         1.39414512e+09     -1.22900000e-29                    
              5655.7             -0.6229                       |         1.39410542e+09     -6.22900000e-30                    
              5664.4             -0.1419                       |         1.39406571e+09     -1.41900000e-30                    
              5673.1              0.1931                       |         1.39402600e+09      1.93100000e-30                    
              5681.7              0.8151                       |         1.39398676e+09      8.15100000e-30                    
              5690.4               1.297                       |         1.39394706e+09      1.29700000e-29                    
