#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
             4036.42         6.31523e-16         3.09214e-17   |         7.42718694e+14      3.43210975e-30      1.68047147e-31
             4039.17         6.78739e-16         3.20072e-17   |         7.42213026e+14      3.69374035e-30      1.74185197e-31
             4041.92         7.06425e-16         3.26393e-17   |         7.41708047e+14      3.84964589e-30      1.77867073e-31
             4044.67         7.14788e-16         3.31111e-17   |         7.41203755e+14      3.90052204e-30      1.80683749e-31
             4047.42         7.13026e-16         3.28864e-17   |         7.40700147e+14      3.89619970e-30      1.79701697e-31
             4050.17          7.9195e-16         3.40788e-17   |         7.40197224e+14      4.33334796e-30      1.86470482e-31
             4052.92         8.14657e-16         3.42626e-17   |         7.39694983e+14      4.46365019e-30      1.87730862e-31
             4055.67         7.58869e-16         3.31056e-17   |         7.39193423e+14      4.16362232e-30      1.81637694e-31
             4058.42         7.96505e-16         3.37448e-17   |         7.38692543e+14      4.37604502e-30      1.85395903e-31
             4061.17         7.86424e-16         3.36321e-17   |         7.38192341e+14      4.32651679e-30      1.85027218e-31
             4063.92         8.09126e-16         3.40847e-17   |         7.37692816e+14      4.45744253e-30      1.87771239e-31
             4066.67         7.92552e-16         3.39121e-17   |         7.37193967e+14      4.37204804e-30      1.87073316e-31
             4069.42         8.14908e-16         3.41193e-17   |         7.36695792e+14      4.50145494e-30      1.88470958e-31
             4072.17         8.56652e-16         3.46905e-17   |         7.36198290e+14      4.73844156e-30      1.91885278e-31
             4074.92         8.81201e-16         3.51185e-17   |         7.35701459e+14      4.88081617e-30      1.94515148e-31
             4077.67         8.87752e-16         3.51071e-17   |         7.35205299e+14      4.92373995e-30      1.94714549e-31
             4080.42         8.80934e-16         3.49599e-17   |         7.34709807e+14      4.89251767e-30      1.94159754e-31
             4083.17         8.24109e-16         3.38542e-17   |         7.34214982e+14      4.58309518e-30      1.88272450e-31
             4085.92         8.45977e-16         3.39933e-17   |         7.33720824e+14      4.71104844e-30      1.89300753e-31
             4088.67         8.65616e-16         3.43048e-17   |         7.33227331e+14      4.82690432e-30      1.91292660e-31
             4091.42         8.39137e-16          3.3667e-17   |         7.32734500e+14      4.68554695e-30      1.87988742e-31
             4094.17         8.15418e-16         3.32425e-17   |         7.32242332e+14      4.55922823e-30      1.85868039e-31
             4096.92         8.75235e-16         3.39589e-17   |         7.31750825e+14      4.90025792e-30      1.90128787e-31
             4099.67         8.67262e-16         3.37911e-17   |         7.31259977e+14      4.86213948e-30      1.89443376e-31
             4102.42         8.29321e-16         3.31798e-17   |         7.30769787e+14      4.65567011e-30      1.86265877e-31
             4105.17         7.96585e-16         3.25538e-17   |         7.30280254e+14      4.47789301e-30      1.82996709e-31
             4107.92         8.14013e-16         3.26267e-17   |         7.29791376e+14      4.58199479e-30      1.83652312e-31
             4110.67         8.61485e-16         3.33892e-17   |         7.29303153e+14      4.85570443e-30      1.88196064e-31
             4113.42         8.64102e-16         3.33128e-17   |         7.28815582e+14      4.87697373e-30      1.88016751e-31
             4116.17         8.38115e-16         3.28584e-17   |         7.28328662e+14      4.73663059e-30      1.85700175e-31
             4118.92          8.2228e-16         3.24851e-17   |         7.27842393e+14      4.65335019e-30      1.83835854e-31
             4121.67         8.21357e-16          3.2592e-17   |         7.27356773e+14      4.65433558e-30      1.84687176e-31
             4124.42         8.52639e-16         3.31132e-17   |         7.26871800e+14      4.83804894e-30      1.87891103e-31
             4127.17         8.38904e-16         3.27629e-17   |         7.26387474e+14      4.76646356e-30      1.86151418e-31
             4129.92         7.85597e-16         3.18731e-17   |         7.25903792e+14      4.46953549e-30      1.81337189e-31
             4132.67         8.24665e-16         3.23512e-17   |         7.25420755e+14      4.69805735e-30      1.84302466e-31
             4135.42         8.73958e-16         3.30011e-17   |         7.24938359e+14      4.98550442e-30      1.88255191e-31
             4138.17         8.52442e-16         3.25652e-17   |         7.24456605e+14      4.86923563e-30      1.86015743e-31
             4140.92         8.61002e-16         3.25366e-17   |         7.23975491e+14      4.92467003e-30      1.86099473e-31
             4143.67          8.8836e-16         3.27883e-17   |         7.23495015e+14      5.08790054e-30      1.87788295e-31
             4146.42         8.95439e-16         3.27867e-17   |         7.23015177e+14      5.13525345e-30      1.88028458e-31
             4149.17         9.02741e-16         3.28416e-17   |         7.22535975e+14      5.18399915e-30      1.88593214e-31
             4151.92          8.3678e-16         3.18025e-17   |         7.22057407e+14      4.81158919e-30      1.82868335e-31
             4154.67         7.71493e-16          3.0724e-17   |         7.21579473e+14      4.44205932e-30      1.76900932e-31
             4157.42         7.40965e-16          3.0192e-17   |         7.21102172e+14      4.27193653e-30      1.74068016e-31
             4160.17         7.12986e-16         2.97191e-17   |         7.20625501e+14      4.11606717e-30      1.71568322e-31
             4162.92         7.22171e-16         2.98824e-17   |         7.20149460e+14      4.17460578e-30      1.72739199e-31
             4165.67         7.67358e-16         3.05931e-17   |         7.19674048e+14      4.44167774e-30      1.77081221e-31
             4168.42         8.12512e-16         3.12005e-17   |         7.19199263e+14      4.70925298e-30      1.80835542e-31
             4171.17         8.07111e-16         3.10729e-17   |         7.18725104e+14      4.68412356e-30      1.80333688e-31
