#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
             5826.67         1.49951e-15         2.90984e-17   |         5.14517656e+14      1.69812441e-29      3.29525668e-31
             5829.42         1.46426e-15         2.87653e-17   |         5.14274935e+14      1.65977106e-29      3.26061030e-31
             5832.17         1.48886e-15         2.89754e-17   |         5.14032442e+14      1.68924836e-29      3.28752516e-31
             5834.92         1.51452e-15         2.91904e-17   |         5.13790179e+14      1.71998287e-29      3.31504291e-31
             5837.67         1.47743e-15         2.88924e-17   |         5.13548143e+14      1.67944309e-29      3.28429377e-31
             5840.42         1.49069e-15         2.89403e-17   |         5.13306336e+14      1.69611304e-29      3.29283890e-31
             5843.17          1.4794e-15         2.88874e-17   |         5.13064756e+14      1.68485276e-29      3.28991588e-31
             5845.92         1.44847e-15         2.86113e-17   |         5.12823403e+14      1.65118044e-29      3.26153935e-31
             5848.67         1.51241e-15         2.92013e-17   |         5.12582278e+14      1.72569115e-29      3.33192884e-31
             5851.42         1.50969e-15          2.9197e-17   |         5.12341379e+14      1.72420785e-29      3.33457177e-31
             5854.17         1.51481e-15         2.92108e-17   |         5.12100706e+14      1.73168190e-29      3.33928438e-31
             5856.92         1.44935e-15         2.86723e-17   |         5.11860259e+14      1.65840712e-29      3.28080495e-31
             5859.67         1.44312e-15         2.85883e-17   |         5.11620038e+14      1.65282951e-29      3.27426589e-31
             5862.42         1.42565e-15         2.84386e-17   |         5.11380043e+14      1.63435378e-29      3.26017841e-31
             5865.17          1.4078e-15         2.87096e-17   |         5.11140272e+14      1.61540516e-29      3.29433414e-31
             5867.92          1.3457e-15         2.86262e-17   |         5.10900726e+14      1.54559576e-29      3.28784523e-31
             5870.67         1.39672e-15         2.85786e-17   |         5.10661405e+14      1.60569844e-29      3.28545545e-31
             5873.42         1.35621e-15         2.83846e-17   |         5.10422308e+14      1.56058832e-29      3.26621064e-31
             5876.17          1.4421e-15          2.8395e-17   |         5.10183434e+14      1.66097607e-29      3.27046776e-31
             5878.92         1.42942e-15          2.8703e-17   |         5.09944784e+14      1.64791289e-29      3.30903749e-31
             5881.67         1.46726e-15         2.92344e-17   |         5.09706357e+14      1.69311977e-29      3.37345397e-31
             5884.42         1.45327e-15         2.97543e-17   |         5.09468153e+14      1.67854477e-29      3.43665834e-31
             5887.17         1.46724e-15         3.04456e-17   |         5.09230172e+14      1.69626463e-29      3.51979189e-31
             5889.92         1.45494e-15         3.17066e-17   |         5.08992412e+14      1.68361649e-29      3.66900042e-31
             5892.67         1.43249e-15          3.2104e-17   |         5.08754875e+14      1.65918623e-29      3.71845631e-31
             5895.42         1.47001e-15         3.15014e-17   |         5.08517559e+14      1.70423345e-29      3.65206629e-31
             5898.17         1.48563e-15         3.09234e-17   |         5.08280465e+14      1.72394945e-29      3.58840213e-31
             5900.92         1.41902e-15          3.0078e-17   |         5.08043592e+14      1.64818997e-29      3.49355596e-31
             5903.67         1.49699e-15         2.95887e-17   |         5.07806939e+14      1.74037302e-29      3.43992780e-31
             5906.42         1.48206e-15         2.93636e-17   |         5.07570506e+14      1.72462125e-29      3.41693917e-31
             5909.17         1.41347e-15         2.95619e-17   |         5.07334294e+14      1.64633746e-29      3.44321870e-31
             5911.92         1.47062e-15         2.95756e-17   |         5.07098301e+14      1.71449752e-29      3.44802143e-31
             5914.67         1.48616e-15         2.94687e-17   |         5.06862528e+14      1.73422683e-29      3.43875560e-31
             5917.42         1.49371e-15         2.90703e-17   |         5.06626974e+14      1.74465827e-29      3.39542076e-31
             5920.17         1.46009e-15         2.89033e-17   |         5.06391639e+14      1.70697546e-29      3.37905361e-31
             5922.92         1.44334e-15         2.87289e-17   |         5.06156522e+14      1.68896122e-29      3.36178571e-31
             5925.67          1.4969e-15         2.92054e-17   |         5.05921624e+14      1.75326276e-29      3.42071883e-31
             5928.42         1.50602e-15         2.92977e-17   |         5.05686944e+14      1.76558228e-29      3.43471535e-31
             5931.17         1.47656e-15         2.90638e-17   |         5.05452481e+14      1.73265118e-29      3.41045588e-31
             5933.92         1.47277e-15          2.9058e-17   |         5.05218235e+14      1.72980679e-29      3.41293792e-31
             5936.67         1.42793e-15         2.86169e-17   |         5.04984207e+14      1.67869590e-29      3.36424564e-31
             5939.42         1.37287e-15         2.80878e-17   |         5.04750395e+14      1.61546214e-29      3.30510373e-31
             5942.17         1.37335e-15         2.80586e-17   |         5.04516799e+14      1.61752377e-29      3.30472586e-31
             5944.92         1.37812e-15         2.81628e-17   |         5.04283420e+14      1.62464456e-29      3.32006936e-31
             5947.67         1.35409e-15         2.79179e-17   |         5.04050257e+14      1.59779315e-29      3.29424406e-31
             5950.42         1.40566e-15         2.84501e-17   |         5.03817309e+14      1.66017865e-29      3.36014744e-31
             5953.17         1.41112e-15         2.85001e-17   |         5.03584576e+14      1.66816810e-29      3.36916475e-31
             5955.92          1.4101e-15          2.8454e-17   |         5.03352058e+14      1.66850272e-29      3.36682338e-31
             5958.67         1.41452e-15         2.84472e-17   |         5.03119755e+14      1.67527866e-29      3.36912784e-31
             5961.42         1.42333e-15         2.84934e-17   |         5.02887666e+14      1.68726905e-29      3.37771507e-31
             5964.17         1.41109e-15         2.84069e-17   |         5.02655791e+14      1.67430293e-29      3.37056856e-31
             5966.92         1.36546e-15         2.80181e-17   |         5.02424130e+14      1.62165591e-29      3.32750263e-31
             5969.67         1.31469e-15         2.76122e-17   |         5.02192682e+14      1.56279964e-29      3.28232027e-31
             5972.42         1.26114e-15         2.70942e-17   |         5.01961448e+14      1.50052515e-29      3.22371255e-31
             5975.17         1.20899e-15         2.65447e-17   |         5.01730426e+14      1.43980122e-29      3.16124131e-31
             5977.92         1.17391e-15         2.61955e-17   |         5.01499617e+14      1.39931115e-29      3.12252688e-31
             5980.67         1.20704e-15         2.64993e-17   |         5.01269020e+14      1.44012648e-29      3.16164698e-31
             5983.42         1.26512e-15         2.70576e-17   |         5.01038635e+14      1.51081050e-29      3.23122757e-31
             5986.17          1.2856e-15          2.7202e-17   |         5.00808462e+14      1.53667934e-29      3.25145857e-31
             5988.92         1.34935e-15         2.78193e-17   |         5.00578500e+14      1.61436202e-29      3.32830040e-31
             5991.67          1.3503e-15         2.78077e-17   |         5.00348749e+14      1.61698256e-29      3.32996859e-31
             5994.42         1.37219e-15         2.80358e-17   |         5.00119209e+14      1.64470451e-29      3.36036603e-31
             5997.17         1.39682e-15         2.82862e-17   |         4.99889880e+14      1.67576247e-29      3.39349039e-31
             5999.92         1.37661e-15         2.81204e-17   |         4.99660760e+14      1.65303152e-29      3.37669402e-31
             6002.67         1.39976e-15         2.83895e-17   |         4.99431851e+14      1.68237115e-29      3.41213320e-31
             6005.42          1.3805e-15         2.81657e-17   |         4.99203151e+14      1.66074318e-29      3.38833714e-31
             6008.17         1.37934e-15         2.81542e-17   |         4.98974661e+14      1.66086775e-29      3.39005631e-31
             6010.92         1.41467e-15         2.85106e-17   |         4.98746380e+14      1.70496840e-29      3.43611388e-31
             6013.67          1.4103e-15         2.84183e-17   |         4.98518307e+14      1.70125724e-29      3.42812442e-31
             6016.42          1.3866e-15         2.81416e-17   |         4.98290443e+14      1.67419787e-29      3.39785134e-31
             6019.17         1.41034e-15         2.83621e-17   |         4.98062788e+14      1.70441889e-29      3.42760603e-31
             6021.92         1.39611e-15         2.82588e-17   |         4.97835340e+14      1.68876375e-29      3.41824333e-31
             6024.67         1.39358e-15         2.82415e-17   |         4.97608100e+14      1.68724336e-29      3.41927147e-31
             6027.42         1.41003e-15         2.84141e-17   |         4.97381067e+14      1.70871864e-29      3.44330989e-31
             6030.17         1.43788e-15         2.86576e-17   |         4.97154241e+14      1.74405851e-29      3.47598764e-31
             6032.92         1.40463e-15         2.83343e-17   |         4.96927622e+14      1.70528263e-29      3.43990870e-31
             6035.67         1.39973e-15         2.83407e-17   |         4.96701210e+14      1.70088339e-29      3.44382316e-31
             6038.42         1.37467e-15         2.80933e-17   |         4.96475003e+14      1.67195423e-29      3.41687181e-31
             6041.17         1.41999e-15         2.85478e-17   |         4.96249003e+14      1.72864851e-29      3.47531404e-31
             6043.92         1.40805e-15         2.84566e-17   |         4.96023208e+14      1.71567407e-29      3.46736626e-31
             6046.67         1.40298e-15         2.84229e-17   |         4.95797619e+14      1.71105240e-29      3.46641230e-31
             6049.42         1.43177e-15         2.85772e-17   |         4.95572235e+14      1.74775289e-29      3.48840135e-31
             6052.17         1.39676e-15         2.83073e-17   |         4.95347056e+14      1.70656692e-29      3.45859716e-31
             6054.92         1.41541e-15          2.8514e-17   |         4.95122081e+14      1.73092549e-29      3.48701857e-31
             6057.67         1.41635e-15         2.85046e-17   |         4.94897310e+14      1.73364872e-29      3.48903614e-31
             6060.42            1.43e-15         2.86522e-17   |         4.94672744e+14      1.75194625e-29      3.51028772e-31
             6063.17         1.39887e-15         2.84078e-17   |         4.94448381e+14      1.71536341e-29      3.48350460e-31
             6065.92         1.39499e-15         2.83258e-17   |         4.94224222e+14      1.71215763e-29      3.47660089e-31
             6068.67         1.40394e-15         2.84397e-17   |         4.94000265e+14      1.72470526e-29      3.49374618e-31
             6071.42         1.36826e-15         2.81334e-17   |         4.93776512e+14      1.68239698e-29      3.45925096e-31
             6074.17         1.39124e-15         2.83569e-17   |         4.93552961e+14      1.71220293e-29      3.48989156e-31
             6076.92         1.41442e-15         2.85879e-17   |         4.93329613e+14      1.74230716e-29      3.52150726e-31
             6079.67         1.44141e-15         2.88439e-17   |         4.93106466e+14      1.77716127e-29      3.55625824e-31
             6082.42         1.40646e-15         2.84931e-17   |         4.92883522e+14      1.73563937e-29      3.51618575e-31
             6085.17         1.38536e-15         2.82816e-17   |         4.92660779e+14      1.71114720e-29      3.49324223e-31
             6087.92         1.38326e-15         2.82862e-17   |         4.92438237e+14      1.71009796e-29      3.49696896e-31
             6090.67         1.41326e-15         2.86074e-17   |         4.92215896e+14      1.74876520e-29      3.53987416e-31
             6093.42          1.4032e-15         2.85252e-17   |         4.91993756e+14      1.73788526e-29      3.53289086e-31
             6096.17         1.36526e-15         2.81679e-17   |         4.91771816e+14      1.69242254e-29      3.49178829e-31
             6098.92         1.40705e-15         2.86689e-17   |         4.91550076e+14      1.74580085e-29      3.55710102e-31
             6101.67         1.37086e-15         2.82724e-17   |         4.91328536e+14      1.70243223e-29      3.51106932e-31
             6104.42         1.34686e-15         2.81326e-17   |         4.91107196e+14      1.67413534e-29      3.49685786e-31
             6107.17         1.38765e-15         2.84654e-17   |         4.90886055e+14      1.72639136e-29      3.54141323e-31
             6109.92          1.3787e-15         2.83727e-17   |         4.90665113e+14      1.71680164e-29      3.53305997e-31
             6112.67         1.35812e-15          2.8277e-17   |         4.90444370e+14      1.69269746e-29      3.52431346e-31
             6115.42         1.39963e-15          2.8696e-17   |         4.90223826e+14      1.74600353e-29      3.57975445e-31
             6118.17         1.43317e-15         2.90014e-17   |         4.90003480e+14      1.78945213e-29      3.62110684e-31
             6120.92         1.42833e-15         2.89661e-17   |         4.89783332e+14      1.78501249e-29      3.61995130e-31
             6123.67         1.42275e-15         2.89409e-17   |         4.89563381e+14      1.77963709e-29      3.62005264e-31
             6126.42         1.44732e-15         2.92044e-17   |         4.89343628e+14      1.81199666e-29      3.65629406e-31
             6129.17          1.4569e-15         2.92568e-17   |         4.89124072e+14      1.82562836e-29      3.66614344e-31
             6131.92         1.42446e-15         2.90846e-17   |         4.88904713e+14      1.78658019e-29      3.64783639e-31
             6134.67         1.45923e-15          2.9364e-17   |         4.88685551e+14      1.83183122e-29      3.68618326e-31
             6137.42         1.46156e-15         2.94857e-17   |         4.88466585e+14      1.83640147e-29      3.70478003e-31
             6140.17         1.42239e-15         2.91582e-17   |         4.88247816e+14      1.78878760e-29      3.66691461e-31
             6142.92         1.45215e-15         2.93681e-17   |         4.88029242e+14      1.82784975e-29      3.69662048e-31
             6145.67         1.41659e-15         2.90683e-17   |         4.87810864e+14      1.78468651e-29      3.66216074e-31
             6148.42          1.4277e-15         2.91027e-17   |         4.87592681e+14      1.80029348e-29      3.66977664e-31
             6151.17         1.44036e-15         2.93299e-17   |         4.87374693e+14      1.81788249e-29      3.70173510e-31
             6153.92         1.43522e-15           2.927e-17   |         4.87156900e+14      1.81301529e-29      3.69747895e-31
             6156.67         1.47139e-15         2.96053e-17   |         4.86939302e+14      1.86036794e-29      3.74317829e-31
             6159.42         1.45327e-15         2.95123e-17   |         4.86721898e+14      1.83909957e-29      3.73475391e-31
             6162.17         1.46031e-15          2.9583e-17   |         4.86504687e+14      1.84965915e-29      3.74704458e-31
             6164.92         1.46029e-15         2.95994e-17   |         4.86287671e+14      1.85128506e-29      3.75246883e-31
             6167.67         1.41113e-15         2.91586e-17   |         4.86070848e+14      1.79055876e-29      3.69988497e-31
             6170.42         1.42976e-15         2.93593e-17   |         4.85854219e+14      1.81581622e-29      3.72867426e-31
             6173.17         1.39142e-15         2.89894e-17   |         4.85637783e+14      1.76869933e-29      3.68497882e-31
             6175.92         1.38399e-15         2.89252e-17   |         4.85421539e+14      1.76082247e-29      3.68009466e-31
             6178.67         1.38987e-15         2.89793e-17   |         4.85205488e+14      1.76987860e-29      3.69026188e-31
             6181.42         1.39492e-15         2.90581e-17   |         4.84989629e+14      1.77789088e-29      3.70359096e-31
             6184.17         1.45026e-15         2.95901e-17   |         4.84773962e+14      1.85006933e-29      3.77475325e-31
             6186.92         1.41879e-15         2.92365e-17   |         4.84558486e+14      1.81153369e-29      3.73296293e-31
             6189.67         1.42881e-15         2.93217e-17   |         4.84343202e+14      1.82594952e-29      3.74717031e-31
             6192.42         1.41082e-15         2.91671e-17   |         4.84128110e+14      1.80456160e-29      3.73072601e-31
             6195.17         1.38824e-15         2.89758e-17   |         4.83913208e+14      1.77725730e-29      3.70954964e-31
             6197.92          1.4037e-15         2.92197e-17   |         4.83698497e+14      1.79864530e-29      3.74409604e-31
             6200.67         1.39143e-15         2.91574e-17   |         4.83483977e+14      1.78450552e-29      3.73942931e-31
             6203.42         1.41405e-15         2.93553e-17   |         4.83269646e+14      1.81512456e-29      3.76815007e-31
             6206.17         1.40703e-15         2.92949e-17   |         4.83055506e+14      1.80771511e-29      3.76373165e-31
             6208.92         1.38928e-15         2.91391e-17   |         4.82841555e+14      1.78649254e-29      3.74703334e-31
             6211.67         1.39704e-15         2.92217e-17   |         4.82627794e+14      1.79806293e-29      3.76098433e-31
             6214.42         1.37479e-15         2.90589e-17   |         4.82414222e+14      1.77099308e-29      3.74334340e-31
             6217.17         1.38549e-15         2.92074e-17   |         4.82200839e+14      1.78635667e-29      3.76580371e-31
             6219.92         1.35434e-15         2.89516e-17   |         4.81987645e+14      1.74773909e-29      3.73612556e-31
             6222.67         1.38374e-15         2.93159e-17   |         4.81774639e+14      1.78725834e-29      3.78648349e-31
             6225.42         1.36777e-15         2.91564e-17   |         4.81561821e+14      1.76819306e-29      3.76921151e-31
             6228.17         1.36047e-15         2.91323e-17   |         4.81349191e+14      1.76031010e-29      3.76942395e-31
             6230.92         1.38066e-15         2.94358e-17   |         4.81136749e+14      1.78801183e-29      3.81205791e-31
             6233.67         1.42558e-15         3.00531e-17   |         4.80924494e+14      1.84781507e-29      3.89543702e-31
             6236.42         1.45911e-15         3.04853e-17   |         4.80712426e+14      1.89294520e-29      3.95494529e-31
             6239.17         1.42237e-15         3.01817e-17   |         4.80500546e+14      1.84690909e-29      3.91901235e-31
             6241.92         1.38128e-15         2.97298e-17   |         4.80288852e+14      1.79513624e-29      3.86373809e-31
             6244.67         1.37638e-15         2.95956e-17   |         4.80077344e+14      1.79034462e-29      3.84968709e-31
             6247.42         1.36363e-15         2.94498e-17   |         4.79866023e+14      1.77532247e-29      3.83409662e-31
             6250.17         1.33147e-15         2.91369e-17   |         4.79654888e+14      1.73497947e-29      3.79670015e-31
             6252.92         1.27335e-15         2.86023e-17   |         4.79443938e+14      1.66070630e-29      3.73031922e-31
             6255.67         1.29773e-15         2.89842e-17   |         4.79233174e+14      1.69399179e-29      3.78345240e-31
             6258.42         1.35562e-15          2.9724e-17   |         4.79022595e+14      1.77111464e-29      3.88343427e-31
             6261.17         1.35606e-15         2.97744e-17   |         4.78812201e+14      1.77324683e-29      3.89343838e-31
             6263.92         1.35725e-15         2.97477e-17   |         4.78601992e+14      1.77636231e-29      3.89336476e-31
             6266.67         1.37564e-15         2.99098e-17   |         4.78391967e+14      1.80201226e-29      3.91801826e-31
             6269.42         1.39214e-15         3.00412e-17   |         4.78182127e+14      1.82522722e-29      3.93868548e-31
             6272.17         1.40019e-15         2.99104e-17   |         4.77972470e+14      1.83739237e-29      3.92497738e-31
             6274.92         1.41434e-15         2.97569e-17   |         4.77762998e+14      1.85758847e-29      3.90825928e-31
             6277.67         1.36401e-15         2.97037e-17   |         4.77553709e+14      1.79305584e-29      3.90469225e-31
             6280.42         1.39086e-15         2.94415e-17   |         4.77344603e+14      1.82995365e-29      3.87361634e-31
             6283.17         1.40549e-15         2.96101e-17   |         4.77135680e+14      1.85082210e-29      3.89921148e-31
             6285.92         1.36792e-15          2.9533e-17   |         4.76926940e+14      1.80292514e-29      3.89246360e-31
             6288.67         1.46701e-15         2.99131e-17   |         4.76718382e+14      1.93521838e-29      3.94601135e-31
             6291.42         1.39802e-15         3.02165e-17   |         4.76510007e+14      1.84582293e-29      3.98952151e-31
             6294.17         1.42739e-15         3.04585e-17   |         4.76301814e+14      1.88624839e-29      4.02498943e-31
             6296.92         1.40084e-15          3.1796e-17   |         4.76093803e+14      1.85278140e-29      4.20540799e-31
             6299.67         1.40243e-15         3.23845e-17   |         4.75885973e+14      1.85650485e-29      4.28698626e-31
             6302.42         1.37519e-15         3.21267e-17   |         4.75678325e+14      1.82203487e-29      4.25657311e-31
             6305.17         1.32978e-15         3.14307e-17   |         4.75470858e+14      1.76340754e-29      4.16799270e-31
             6307.92         1.42541e-15         3.02565e-17   |         4.75263572e+14      1.89187070e-29      4.01578393e-31
             6310.67         1.39321e-15         2.99748e-17   |         4.75056466e+14      1.85074600e-29      3.98186499e-31
             6313.42         1.32052e-15          2.9929e-17   |         4.74849541e+14      1.75571347e-29      3.97924670e-31
             6316.17         1.36772e-15         2.96435e-17   |         4.74642796e+14      1.82005333e-29      3.94472194e-31
             6318.92         1.33956e-15          2.9685e-17   |         4.74436231e+14      1.78413281e-29      3.95368498e-31
             6321.67         1.35692e-15         2.99518e-17   |         4.74229846e+14      1.80882762e-29      3.99269251e-31
             6324.42         1.36418e-15         3.03097e-17   |         4.74023640e+14      1.82008798e-29      4.04391800e-31
             6327.17         1.29229e-15         3.01248e-17   |         4.73817614e+14      1.72567213e-29      4.02274473e-31
             6329.92          1.3374e-15         3.01025e-17   |         4.73611766e+14      1.78746298e-29      4.02326189e-31
             6332.67         1.32348e-15         2.99888e-17   |         4.73406097e+14      1.77039589e-29      4.01154897e-31
             6335.42         1.37308e-15         2.98419e-17   |         4.73200607e+14      1.83834052e-29      3.99536618e-31
             6338.17         1.37809e-15         2.99909e-17   |         4.72995295e+14      1.84665023e-29      4.01880155e-31
             6340.92          1.3202e-15         2.99946e-17   |         4.72790161e+14      1.77061269e-29      4.02278589e-31
             6343.67           1.266e-15         2.99077e-17   |         4.72585205e+14      1.69939434e-29      4.01461106e-31
             6346.42         1.34968e-15         2.96558e-17   |         4.72380427e+14      1.81329193e-29      3.98424980e-31
             6349.17         1.32478e-15         2.99277e-17   |         4.72175826e+14      1.78138163e-29      4.02426479e-31
             6351.92         1.38236e-15         3.02631e-17   |         4.71971402e+14      1.86041783e-29      4.07289063e-31
             6354.67          1.3545e-15         3.05698e-17   |         4.71767155e+14      1.82450186e-29      4.11773030e-31
             6357.42         1.38559e-15         3.10771e-17   |         4.71563085e+14      1.86799558e-29      4.18968709e-31
             6360.17         1.35151e-15         3.16176e-17   |         4.71359192e+14      1.82362697e-29      4.26624355e-31
             6362.92         1.34691e-15         3.16155e-17   |         4.71155474e+14      1.81899204e-29      4.26965000e-31
             6365.67         1.33324e-15           3.166e-17   |         4.70951933e+14      1.80208749e-29      4.27935630e-31
             6368.42         1.42918e-15          3.1451e-17   |         4.70748567e+14      1.93343520e-29      4.25478039e-31
             6371.17         1.41851e-15         3.12913e-17   |         4.70545377e+14      1.92065820e-29      4.23683244e-31
             6373.92         1.39289e-15         3.07495e-17   |         4.70342362e+14      1.88759724e-29      4.16706784e-31
             6376.67         1.40706e-15         3.08617e-17   |         4.70139523e+14      1.90844565e-29      4.18588243e-31
             6379.42         1.46494e-15         3.15094e-17   |         4.69936858e+14      1.98866451e-29      4.27741926e-31
             6382.17         1.43416e-15         3.12649e-17   |         4.69734368e+14      1.94855935e-29      4.24788818e-31
             6384.92         1.48185e-15         3.19143e-17   |         4.69532052e+14      2.01509006e-29      4.33985819e-31
             6387.67         1.46525e-15          3.1733e-17   |         4.69329911e+14      1.99423332e-29      4.31892210e-31
             6390.42         1.42009e-15         3.12162e-17   |         4.69127943e+14      1.93443424e-29      4.25224359e-31
             6393.17         1.46595e-15          3.1732e-17   |         4.68926149e+14      1.99862336e-29      4.32622644e-31
             6395.92          1.4217e-15         3.12777e-17   |         4.68724529e+14      1.93996237e-29      4.26795814e-31
             6398.67         1.51855e-15         3.24033e-17   |         4.68523082e+14      2.07390003e-29      4.42535345e-31
             6401.42         1.44165e-15         3.15384e-17   |         4.68321808e+14      1.97056959e-29      4.31093622e-31
             6404.17         1.42737e-15         3.15108e-17   |         4.68120707e+14      1.95272715e-29      4.31086506e-31
             6406.92         1.37672e-15         3.09886e-17   |         4.67919779e+14      1.88505280e-29      4.24306665e-31
             6409.67         1.42784e-15         3.14083e-17   |         4.67719023e+14      1.95672674e-29      4.30422601e-31
             6412.42         1.39422e-15         3.10816e-17   |         4.67518439e+14      1.91229339e-29      4.26311043e-31
             6415.17         1.43797e-15         3.16493e-17   |         4.67318027e+14      1.97399233e-29      4.34469950e-31
             6417.92         1.43199e-15         3.16787e-17   |         4.67117787e+14      1.96746891e-29      4.35246458e-31
             6420.67         1.46866e-15          3.2074e-17   |         4.66917719e+14      2.01958093e-29      4.41055375e-31
             6423.42         1.44352e-15          3.1818e-17   |         4.66717822e+14      1.98671120e-29      4.37909949e-31
             6426.17         1.40599e-15         3.13848e-17   |         4.66518096e+14      1.93671603e-29      4.32317765e-31
             6428.92         1.37311e-15         3.09943e-17   |         4.66318540e+14      1.89304383e-29      4.27304209e-31
             6431.67          1.4498e-15         3.18222e-17   |         4.66119156e+14      2.00048315e-29      4.39093495e-31
             6434.42         1.47735e-15         3.22086e-17   |         4.65919942e+14      2.04024115e-29      4.44805301e-31
             6437.17         1.44663e-15         3.19183e-17   |         4.65720898e+14      1.99952445e-29      4.41173081e-31
             6439.92         1.43325e-15         3.18241e-17   |         4.65522024e+14      1.98272367e-29      4.40246965e-31
             6442.67          1.4428e-15         3.18847e-17   |         4.65323319e+14      1.99763990e-29      4.41462079e-31
             6445.42         1.44287e-15          3.1934e-17   |         4.65124785e+14      1.99944261e-29      4.42522198e-31
             6448.17         1.40799e-15         3.16211e-17   |         4.64926419e+14      1.95277328e-29      4.38560211e-31
             6450.92         1.41097e-15         3.17035e-17   |         4.64728223e+14      1.95857582e-29      4.40078162e-31
             6453.67         1.37993e-15         3.14938e-17   |         4.64530196e+14      1.91712249e-29      4.37540108e-31
             6456.42          1.3706e-15         3.14475e-17   |         4.64332337e+14      1.90578354e-29      4.37269282e-31
             6459.17          1.4026e-15         3.17268e-17   |         4.64134647e+14      1.95194043e-29      4.41528759e-31
             6461.92         1.43849e-15         3.22156e-17   |         4.63937125e+14      2.00359204e-29      4.48713023e-31
             6464.67         1.43559e-15         3.23393e-17   |         4.63739772e+14      2.00125505e-29      4.50819436e-31
             6467.42          1.4495e-15         3.25679e-17   |         4.63542586e+14      2.02236549e-29      4.54392529e-31
             6470.17          1.4579e-15         3.27078e-17   |         4.63345567e+14      2.03581549e-29      4.56732601e-31
             6472.92         1.44305e-15         3.25534e-17   |         4.63148716e+14      2.01679220e-29      4.54963053e-31
             6475.67         1.44543e-15         3.25187e-17   |         4.62952033e+14      2.02183531e-29      4.54864338e-31
             6478.42         1.44588e-15         3.24999e-17   |         4.62755516e+14      2.02418288e-29      4.54987558e-31
             6481.17         1.47071e-15         3.27879e-17   |         4.62559166e+14      2.06069239e-29      4.59409238e-31
             6483.92         1.46656e-15         3.27588e-17   |         4.62362983e+14      2.05662176e-29      4.59391099e-31
             6486.67         1.44032e-15         3.25444e-17   |         4.62166965e+14      2.02153794e-29      4.56771684e-31
             6489.42         1.42282e-15          3.2446e-17   |         4.61971115e+14      1.99866967e-29      4.55776811e-31
             6492.17         1.43873e-15         3.26153e-17   |         4.61775429e+14      2.02273208e-29      4.58543393e-31
             6494.92         1.44655e-15         3.27766e-17   |         4.61579910e+14      2.03544962e-29      4.61201604e-31
             6497.67         1.46629e-15         3.31164e-17   |         4.61384556e+14      2.06497344e-29      4.66377636e-31
             6500.42         1.43793e-15         3.29653e-17   |         4.61189368e+14      2.02674857e-29      4.64642749e-31
             6503.17         1.43087e-15         3.29187e-17   |         4.60994344e+14      2.01850434e-29      4.64378587e-31
             6505.92         1.39174e-15         3.24425e-17   |         4.60799486e+14      1.96496511e-29      4.58048058e-31
             6508.67          1.4417e-15         3.29274e-17   |         4.60604792e+14      2.03722360e-29      4.65287345e-31
             6511.42         1.47342e-15         3.31835e-17   |         4.60410262e+14      2.08380595e-29      4.69302540e-31
             6514.17          1.4205e-15         3.26128e-17   |         4.60215897e+14      2.01066033e-29      4.61621002e-31
             6516.92          1.4469e-15         3.30222e-17   |         4.60021696e+14      2.04975801e-29      4.67810622e-31
             6519.67         1.48965e-15         3.35545e-17   |         4.59827658e+14      2.11210140e-29      4.75752737e-31
             6522.42         1.46428e-15         3.33177e-17   |         4.59633785e+14      2.07788232e-29      4.72793863e-31
             6525.17         1.46798e-15         3.33425e-17   |         4.59440074e+14      2.08488976e-29      4.73544849e-31
             6527.92         1.47681e-15         3.33774e-17   |         4.59246527e+14      2.09919879e-29      4.74440163e-31
             6530.67         1.47058e-15         3.34094e-17   |         4.59053143e+14      2.09210477e-29      4.75295224e-31
             6533.42         1.47095e-15         3.35284e-17   |         4.58859922e+14      2.09439389e-29      4.77389959e-31
             6536.17         1.45851e-15         3.35003e-17   |         4.58666863e+14      2.07842992e-29      4.77391487e-31
             6538.92         1.40809e-15         3.29324e-17   |         4.58473967e+14      2.00826841e-29      4.69693690e-31
             6541.67         1.44967e-15         3.32401e-17   |         4.58281232e+14      2.06931074e-29      4.74481060e-31
             6544.42         1.47037e-15         3.34532e-17   |         4.58088660e+14      2.10062367e-29      4.77924494e-31
             6547.17         1.41068e-15         3.27896e-17   |         4.57896250e+14      2.01704246e-29      4.68837833e-31
             6549.92         1.44802e-15         3.31964e-17   |         4.57704001e+14      2.07217222e-29      4.75053231e-31
             6552.67         1.50305e-15         3.39095e-17   |         4.57511913e+14      2.15272878e-29      4.85665524e-31
             6555.42         1.45188e-15          3.3415e-17   |         4.57319987e+14      2.08118680e-29      4.78984880e-31
             6558.17         1.46255e-15         3.33701e-17   |         4.57128222e+14      2.09824095e-29      4.78742677e-31
             6560.92          1.4738e-15         3.33545e-17   |         4.56936617e+14      2.11615431e-29      4.78920266e-31
             6563.67         1.51554e-15         3.37408e-17   |         4.56745173e+14      2.17791123e-29      4.84873163e-31
             6566.42         1.45964e-15         3.31041e-17   |         4.56553889e+14      2.09933800e-29      4.76122161e-31
             6569.17         1.46702e-15          3.3195e-17   |         4.56362766e+14      2.11171999e-29      4.77829513e-31
