#  lambda      flux
#   [A]        [erg cm^-2 s^-1 A^-1]
 6980.5310     1.166281e+00
 6984.4774     1.163112e+00
 6988.4239     1.160304e+00
 6992.3703     1.173352e+00
 6996.3167     1.168610e+00
 7000.2631     1.183796e+00
 7004.2096     1.179532e+00
 7008.1560     1.169575e+00
 7012.1024     1.173582e+00
 7016.0488     1.160360e+00
 7019.9953     1.165463e+00
 7023.9417     1.162091e+00
 7027.8881     1.189272e+00
 7031.8345     1.171447e+00
 7035.7810     1.158290e+00
 7039.7274     1.178669e+00
 7043.6738     1.166027e+00
 7047.6202     1.158971e+00
 7051.5667     1.189784e+00
 7055.5131     1.188572e+00
 7059.4595     1.149220e+00
 7063.4059     1.156930e+00
 7067.3524     1.141770e+00
 7071.2988     1.112266e+00
 7075.2452     1.078377e+00
 7079.1916     1.104834e+00
 7083.1380     1.103708e+00
 7087.0845     1.105587e+00
 7091.0309     1.074452e+00
 7094.9773     1.078369e+00
 7098.9237     1.068006e+00
 7102.8702     1.065477e+00
 7106.8166     1.082175e+00
 7110.7630     1.059676e+00
 7114.7094     1.044386e+00
 7118.6559     1.035320e+00
 7122.6023     1.019661e+00
 7126.5487     1.009826e+00
 7130.4951     9.766341e-01
 7134.4416     9.505310e-01
 7138.3880     9.468469e-01
 7142.3344     9.311103e-01
 7146.2808     9.102077e-01
 7150.2273     9.138328e-01
 7154.1737     9.401323e-01
 7158.1201     9.228268e-01
 7162.0665     8.833990e-01
 7166.0130     9.671685e-01
 7169.9594     9.688678e-01
 7173.9058     1.002681e+00
