#Regenerated by B.F. Madore from published spectrum with using UN-SCAN-IT Software.
#Heliocentric Velocity     Flux Density 
#[km/s]                     [Jy]
 3493.667                   0.003180
 3495.778                   0.003180
 3497.889                   0.002120
 3500.000                   0.000000
 3502.111                   0.000000
 3504.222                  -0.001060
 3506.333                  -0.001060
 3508.443                  -0.001060
 3510.554                   0.000000
 3512.665                   0.000000
 3514.776                   0.001060
 3516.886                   0.002120
 3518.997                   0.004240
 3521.108                   0.007421
 3523.219                   0.008481
 3525.330                   0.010601
 3527.441                   0.010601
 3529.552                   0.010601
 3531.662                   0.010601
 3533.773                   0.010601
 3535.884                   0.009541
 3537.995                   0.009541
 3540.105                   0.008481
 3542.216                   0.006360
 3544.327                   0.004240
 3546.438                   0.003180
 3548.549                   0.002120
 3550.660                   0.000000
 3552.771                   0.000000
 3554.881                  -0.001060
 3556.992                  -0.001060
 3559.103                  -0.001060
 3561.214                  -0.001060
 3563.324                   0.000000
 3565.435                   0.001060
 3567.546                   0.002120
 3569.657                   0.003180
 3571.768                   0.004240
 3573.879                   0.004240
 3575.990                   0.005300
 3578.100                   0.005300
 3580.211                   0.006360
 3582.322                   0.006360
 3584.433                   0.006360
 3586.543                   0.006360
 3588.654                   0.007421
 3590.765                   0.007421
 3592.876                   0.007421
 3594.987                   0.007421
 3597.098                   0.007421
 3599.208                   0.008481
 3601.319                   0.008481
 3603.430                   0.008481
 3605.541                   0.008481
 3607.652                   0.008481
 3609.762                   0.008481
 3611.873                   0.008481
 3613.984                   0.008481
 3616.095                   0.008481
 3618.206                   0.009541
 3620.317                   0.009541
 3622.427                   0.009541
 3624.538                   0.009541
 3626.649                   0.009541
 3628.760                   0.010601
 3630.871                   0.010601
 3632.981                   0.010601
 3635.092                   0.011661
 3637.203                   0.011661
 3639.314                   0.011661
 3641.425                   0.011661
 3643.536                   0.011661
 3645.646                   0.011661
 3647.757                   0.010601
 3649.868                   0.010601
 3651.979                   0.010601
 3654.090                   0.011661
 3656.200                   0.011661
 3658.311                   0.011661
 3660.422                   0.012721
 3662.533                   0.012721
 3664.644                   0.013781
 3666.755                   0.014841
 3668.865                   0.015901
 3670.976                   0.016961
 3673.087                   0.016961
 3675.198                   0.016961
 3677.309                   0.018021
 3679.419                   0.018021
 3681.530                   0.016961
 3683.641                   0.015901
 3685.752                   0.013781
 3687.863                   0.012721
 3689.974                   0.010601
 3692.084                   0.008481
 3694.195                   0.007421
 3696.306                   0.005300
 3698.417                   0.004240
 3700.528                   0.002120
 3702.638                   0.001060
 3704.749                   0.001060
 3706.860                   0.001060
 3708.971                   0.001060
 3711.082                   0.001060
 3713.193                   0.001060
 3715.303                   0.001060
 3717.414                   0.002120
 3719.525                   0.003180
 3721.636                   0.004240
 3723.747                   0.005300
 3725.857                   0.006360
 3727.968                   0.008481
 3730.079                   0.009541
 3732.190                   0.012721
 3734.301                   0.012721
 3736.412                   0.013781
 3738.522                   0.013781
 3740.633                   0.013781
 3742.744                   0.013781
 3744.855                   0.012721
 3746.966                   0.011661
 3749.076                   0.009541
 3751.187                   0.007421
 3753.298                   0.004240
 3755.409                   0.002120
 3757.520                   0.001060
 3759.631                   0.000000
 3761.741                  -0.001060
 3763.852                  -0.001060
 3765.963                  -0.002120
 3768.074                  -0.002120
 3770.185                  -0.001060
 3772.295                  -0.001060
 3774.406                   0.000000
 3776.517                   0.002120
 3778.628                   0.002120
 3780.739                   0.004240
 3782.850                   0.005300
 3784.960                   0.006360
 3787.071                   0.007421
 3789.182                   0.007421
 3791.293                   0.008481
 3793.404                   0.007421
 3795.514                   0.007421
 3797.625                   0.007421
