#Wavelength     Flux   Variance  Subtracted Sky
#[Angstrom]   [Counts]     [Counts]    [Counts]
6035.67    671.828600    665.091600    104.380000
6039.98    722.447900    688.027600    97.785640
6044.29    739.589500    694.163700    99.384340
6048.60    730.272800    689.226100    94.630170
6052.92    698.022900    671.587800    96.185510
6057.23    716.360900    684.810200    95.816690
6061.54    744.354700    692.320200    94.988920
6065.85    748.667600    697.778900    99.289170
6070.16    755.832300    701.640200    98.173870
6074.47    721.973800    677.605800    92.303720
6078.78    704.495300    661.404500    92.029480
6083.09    746.502100    686.257600    92.485700
6087.40    733.547500    682.020100    91.701630
6091.71    759.710900    704.844400    93.743810
6096.02    743.679700    692.545300    97.805600
6100.33    708.365100    664.929700    99.401950
6104.64    666.478500    651.557100    95.931160
6108.95    685.657900    658.051000    94.211130
6113.26    651.106300    632.840500    95.487720
6117.57    665.065600    633.900100    88.482330
6121.88    710.119300    659.436500    88.030560
6126.19    692.856000    651.687700    90.125760
6130.50    627.966900    614.430800    90.576950
6134.82    636.352500    630.125700    94.647710
6139.13    599.799600    633.722000    107.309900
6143.44    611.997600    628.898900    103.559600
6147.75    672.442700    646.701200    98.370160
6152.06    646.963700    621.627100    91.361760
6156.37    661.735400    622.912000    87.501350
6160.68    676.000800    630.717300    88.611000
6164.99    697.813200    653.879500    92.502260
6169.30    752.992200    715.271900    109.382900
6173.61    684.711900    669.977700    110.737100
6177.92    681.503000    641.754800    94.321980
6182.23    712.273300    655.149000    90.360370
6186.54    710.178000    654.944000    89.047890
6190.85    695.868900    652.035900    92.762380
6195.16    717.425400    664.200800    92.063900
6199.47    717.371700    672.831400    99.061900
6203.78    698.109900    669.991800    103.734300
6208.09    707.615100    660.347000    93.220590
6212.41    720.224700    667.302800    90.298870
6216.72    717.240100    681.735200    99.575950
6221.03    726.146500    693.057700    108.418200
6225.34    760.876400    695.537800    93.198810
6229.65    711.304100    727.600800    120.147600
6233.96    731.059100    849.824500    183.131500
6238.27    753.269200    854.167800    183.175900
6242.58    707.950900    739.104900    135.198500
