#Wavelength         Spectrum        Cont-Subtr-Spectrum           Error           Mask
#[Angstrom]  [1.0E-17 erg/s/cm^2/A] [1.0E-17 erg/s/cm^2/A] [1.0E-17 erg/s/cm^2/A] [Bit Array]
4061.63            53.185100             5.466106               4.296743                0
4062.56            52.628900             4.948162               4.335969                0
4063.50            47.346100            -0.296436               4.255704                0
4064.43            54.694000             7.051464               3.701478                0
4065.37            58.894600            11.291140               3.739694                0
4066.31            53.194600             5.591141               3.682631                0
4067.24            49.462600             1.858761               3.685168                0
4068.18            46.222900            -1.364956               3.698365                0
4069.12            47.785200             0.219544               3.729646                0
4070.05            51.945400             4.396164               3.725174                0
4070.99            49.082600             1.533363               3.656025                0
4071.93            50.356000             2.827419               3.620860                0
4072.86            56.656500             9.138607               3.596483                0
4073.80            52.572800             5.054905               3.486425                0
4074.74            49.645300             2.127407               3.456683                0
4075.68            50.718100             3.167248               3.508573                0
4076.62            49.438400             1.898609               3.537126                0
4077.56            47.285100            -0.290829               3.534628                0
4078.50            44.183500            -3.423691               3.494575                0
4079.43            48.513900             0.938721               3.509463                0
4080.37            50.339600             2.744766               3.446191                0
4081.31            47.705200             0.110367               3.366290                0
4082.25            52.896300             5.321503               3.423062                0
4083.19            51.704900             4.146442               3.377773                0
4084.13            50.672800             3.135872               3.316076                0
4085.07            48.488200             0.967022               3.289041                0
4086.02            45.625700            -1.873978               3.276659                0
4086.96            47.144100            -0.334370               3.289990                0
4087.90            46.184300            -1.278141               3.274441                0
4088.84            50.917700             3.477585               3.373194                0
4089.78            53.164700             5.724583               3.366843                0
4090.72            46.287300            -1.171989               3.253574                0
4091.66            52.606400             5.169373               3.319130                0
4092.61            48.061400             0.646271               3.255371                0
4093.55            46.745600            -0.654335               3.218674                0
4094.49            50.333100             2.954983               3.251868                0
4095.43            47.634200             0.256084               3.277678                0
4096.38            44.224900            -3.153217               3.272473                0
4097.32            48.505600             1.090469               3.325881                0
4098.26            45.757300            -1.657829               3.217774                0
4099.21            45.344400            -2.033718               3.132673                0
4100.15            45.766900            -1.605637               3.121253                0
4101.10            44.588200            -2.780735               3.060796                0
4102.04            44.951400            -2.381199               3.104378                0
4102.99            48.359200             1.060226               3.223528                0
4103.93            51.820700             4.521729               3.278338                0
4104.88            45.600000            -1.698975               3.142185                0
4105.82            40.843800            -6.460140               3.018724                0
4106.77            47.219400            -0.088669               3.034975                0
4107.71            41.278600            -6.038265               2.947263                0
4108.66            46.612700            -0.733471               3.069131                0
4109.60            43.143000            -4.203171               3.055733                0
4110.55            49.632200             2.268230               3.144125                0
4111.50            50.513500             3.149532               3.131597                0
4112.44            45.100200            -2.283211               3.058061                0
4113.39            45.633100            -1.756599               3.087596                0
4114.34            50.457000             3.067303               3.658180                0
4115.29            51.614500             4.243816               3.721020                0
4116.23            48.264000             0.912888               3.234157                0
4117.18            44.623700            -2.712872               3.254531                0
4118.13            41.669900            -5.647255               3.206313                0
4119.08            41.182900            -6.119370               3.209721                0
4120.03            38.440800            -8.842216               3.104887                0
4120.98            39.046400            -8.222904               3.064113                0
4121.92            34.808900            -12.445150               2.981636                0
4122.87            33.332300            -13.921750               3.024324                0
4123.82            38.076500            -9.158955               3.133303                0
4124.77            43.290700            -3.929455               3.185696                0
4125.72            42.778100            -4.423904               3.145634                0
4126.67            40.692700            -6.491508               3.106834                0
4127.62            41.535200            -5.633804               3.047803                0
4128.57            34.009600            -13.159400               2.923464                0
4129.52            36.196500            -10.972500               2.935418                0
4130.48            37.089500            -10.079500               2.911446                0
4131.43            40.777000            -6.425003               2.925753                0
4132.38            37.260500            -9.961945               2.859700                0
4133.33            37.717200            -9.472580               2.854930                0
4134.28            41.752300            -5.436298               2.882108                0
4135.23            44.967300            -2.221298               2.915576                0
4136.19            48.414100             1.224411               2.974636                0
4137.14            47.393800             0.196724               3.011625                0
4138.09            40.735800            -6.470501               2.920720                0
4139.04            47.959100             0.752796               2.991519                0
4140.00            46.828100            -0.344414               2.999057                0
4140.95            45.414400            -1.724579               3.003762                0
4141.90            48.158600             1.053005               3.053823                0
4142.86            42.654500            -4.418179               2.969530                0
4143.81            40.294900            -6.743835               2.949198                0
4144.77            41.951300            -5.054230               2.943278                0
4145.72            43.700500            -3.270687               2.934963                0
4146.68            46.964500            -0.006687               2.957907                0
4147.63            47.323200             0.382389               2.929832                0
4148.59            42.900300            -4.040512               2.884853                0
4149.54            45.343300            -1.596676               2.878631                0
4150.50            42.378400            -4.543518               2.810730                0
4151.45            46.095400            -0.797199               2.825648                0
